,closest,proposed,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,5,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,5,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,2,1,1
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,5,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,5,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,2,2,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,4,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,2,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,2,2,1
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_closest_2.wav,4,4,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,4,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,2,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,5,4,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,5,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,5,4,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,5,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,4,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,2,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,3,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_3.wav,3,4,3
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_4.wav,4,5,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_4.wav,2,3,2
http://research.microsoft.com/en-us/um/people/dinei/Sound/Dinei_noise1_mvdr_4.wav,4,3,2
